   Simtime [s] 	   Realtime [s]	 Percentage [%]
          0.001	     0.09040456	           0.02
          0.002	      0.1297067	           0.04
          0.003	      0.2116444	           0.06
          0.004	      0.2943377	           0.08
          0.005	      0.3672736	            0.1
          0.006	      0.4415435	           0.12
          0.007	      0.5153407	           0.14
          0.008	      0.5662472	           0.16
          0.009	      0.6225854	           0.18
           0.01	      0.6792586	            0.2
          0.011	      0.7348224	           0.22
          0.012	      0.7828781	           0.24
          0.013	       0.829937	           0.26
          0.014	      0.8864852	           0.28
          0.015	      0.9434069	            0.3
          0.016	      0.9907221	           0.32
          0.017	       1.038041	           0.34
          0.018	       1.084924	           0.36
          0.019	       1.131511	           0.38
           0.02	       1.178731	            0.4
          0.021	       1.226814	           0.42
          0.022	       1.274418	           0.44
          0.023	       1.322311	           0.46
          0.024	       1.369826	           0.48
          0.025	       1.417419	            0.5
          0.026	       1.465276	           0.52
          0.027	       1.521658	           0.54
          0.028	       1.569239	           0.56
          0.029	       1.616596	           0.58
           0.03	       1.671762	            0.6
          0.031	       1.727557	           0.62
          0.032	       1.775018	           0.64
          0.033	       1.830792	           0.66
          0.034	        1.87823	           0.68
          0.035	       1.926077	            0.7
          0.036	       1.973389	           0.72
          0.037	       2.021299	           0.74
          0.038	       2.068536	           0.76
          0.039	       2.116256	           0.78
           0.04	       2.164107	            0.8
          0.041	       2.212612	           0.82
          0.042	       2.260101	           0.84
          0.043	       2.307996	           0.86
          0.044	       2.355194	           0.88
          0.045	       2.411033	            0.9
          0.046	       2.466964	           0.92
          0.047	       2.513996	           0.94
          0.048	       2.561754	           0.96
          0.049	       2.618318	           0.98
           0.05	       2.674095	              1
          0.051	       2.721524	              1
          0.052	       2.777637	              1
          0.053	       2.825026	            1.1
          0.054	        2.88108	            1.1
          0.055	       2.936793	            1.1
          0.056	       2.984552	            1.1
          0.057	       3.032661	            1.1
          0.058	       3.079858	            1.2
          0.059	       3.127809	            1.2
           0.06	       3.175896	            1.2
          0.061	       3.222449	            1.2
          0.062	       3.269277	            1.2
          0.063	       3.316891	            1.3
          0.064	       3.364322	            1.3
          0.065	       3.412372	            1.3
          0.066	       3.458851	            1.3
          0.067	        3.50702	            1.3
          0.068	       3.555034	            1.4
          0.069	       3.602395	            1.4
           0.07	       3.650277	            1.4
          0.071	       3.697709	            1.4
          0.072	       3.754027	            1.4
          0.073	        3.80061	            1.5
          0.074	       3.848691	            1.5
          0.075	       3.896177	            1.5
          0.076	       3.943079	            1.5
          0.077	       3.999075	            1.5
          0.078	       4.055478	            1.6
          0.079	       4.104003	            1.6
           0.08	       4.151405	            1.6
          0.081	        4.19971	            1.6
          0.082	       4.247336	            1.6
          0.083	       4.294362	            1.7
          0.084	        4.34161	            1.7
          0.085	       4.392144	            1.7
          0.086	       4.395969	            1.7
          0.087	       4.397231	            1.7
          0.088	       4.398479	            1.8
          0.089	       4.399488	            1.8
           0.09	       4.428458	            1.8
          0.091	       4.431774	            1.8
          0.092	       4.434017	            1.8
          0.093	       4.434923	            1.9
          0.094	       4.436855	            1.9
          0.095	        4.44022	            1.9
          0.096	       4.443773	            1.9
          0.097	       4.447137	            1.9
          0.098	        4.44815	              2
          0.099	       4.451063	              2
            0.1	       4.471444	              2
          0.101	       4.472548	              2
          0.102	       4.473465	              2
          0.103	        4.48443	            2.1
          0.104	        4.48643	            2.1
          0.105	        4.50175	            2.1
          0.106	       4.504235	            2.1
          0.107	       4.511737	            2.1
          0.108	       4.512735	            2.2
          0.109	       4.519075	            2.2
           0.11	       4.527422	            2.2
          0.111	       4.534337	            2.2
          0.112	       4.535305	            2.2
          0.113	       4.541538	            2.3
          0.114	       4.543464	            2.3
          0.115	         4.5512	            2.3
          0.116	       4.553109	            2.3
          0.117	       4.558383	            2.3
          0.118	       4.559346	            2.4
          0.119	       4.566995	            2.4
           0.12	       4.574815	            2.4
          0.121	       4.580175	            2.4
          0.122	       4.581087	            2.4
          0.123	       4.587154	            2.5
          0.124	        4.58911	            2.5
          0.125	       4.595492	            2.5
          0.126	       4.597934	            2.5
          0.127	       4.604764	            2.5
          0.128	       4.605702	            2.6
          0.129	       4.613404	            2.6
           0.13	       4.620752	            2.6
          0.131	       4.626819	            2.6
          0.132	       4.627784	            2.6
          0.133	       4.632988	            2.7
          0.134	       4.635904	            2.7
          0.135	       4.643827	            2.7
          0.136	       4.647423	            2.7
          0.137	       4.662523	            2.7
          0.138	       4.663541	            2.8
          0.139	       4.670701	            2.8
           0.14	       4.677874	            2.8
          0.141	       4.684032	            2.8
          0.142	       4.684992	            2.8
          0.143	       4.691007	            2.9
          0.144	       4.693155	            2.9
          0.145	       4.701153	            2.9
          0.146	       4.704224	            2.9
          0.147	       4.710598	            2.9
          0.148	       4.711568	              3
          0.149	       4.718361	              3
           0.15	       4.724111	              3
          0.151	       4.730058	              3
          0.152	       4.731047	              3
          0.153	       4.738378	            3.1
          0.154	       4.740317	            3.1
          0.155	       4.747575	            3.1
          0.156	       4.750547	            3.1
          0.157	       4.755902	            3.1
          0.158	       4.757044	            3.2
          0.159	       4.764082	            3.2
           0.16	       4.772488	            3.2
          0.161	       4.778546	            3.2
          0.162	       4.779593	            3.2
          0.163	       4.784906	            3.3
          0.164	        4.78777	            3.3
          0.165	       4.794895	            3.3
          0.166	       4.796785	            3.3
          0.167	        4.80301	            3.3
          0.168	       4.803857	            3.4
          0.169	       4.810985	            3.4
           0.17	       4.819388	            3.4
          0.171	       4.825733	            3.4
          0.172	       4.827041	            3.4
          0.173	       4.832222	            3.5
          0.174	       4.834055	            3.5
          0.175	       4.840946	            3.5
          0.176	       4.843715	            3.5
          0.177	       4.850008	            3.5
          0.178	       4.850984	            3.6
          0.179	       4.858221	            3.6
           0.18	       4.874108	            3.6
          0.181	        4.87952	            3.6
          0.182	        4.88055	            3.6
          0.183	        4.88646	            3.7
          0.184	       4.888474	            3.7
          0.185	       4.896604	            3.7
          0.186	       4.898655	            3.7
          0.187	       4.904874	            3.7
          0.188	       4.905746	            3.8
          0.189	       4.912891	            3.8
           0.19	       4.919825	            3.8
          0.191	       4.926318	            3.8
          0.192	       4.927244	            3.8
          0.193	        4.93416	            3.9
          0.194	       4.936217	            3.9
          0.195	       4.943143	            3.9
          0.196	       4.945075	            3.9
          0.197	       4.951068	            3.9
          0.198	       4.951954	              4
          0.199	       4.958035	              4
            0.2	       4.965108	              4
          0.201	       4.981174	              4
          0.202	       4.982196	              4
          0.203	       4.988134	            4.1
          0.204	       4.990539	            4.1
          0.205	       4.998143	            4.1
          0.206	       5.000355	            4.1
          0.207	       5.006402	            4.1
          0.208	       5.007354	            4.2
          0.209	       5.014539	            4.2
           0.21	       5.026771	            4.2
          0.211	       5.032727	            4.2
