   Simtime [s] 	   Realtime [s]	 Percentage [%]
          0.001	       3.876224	           0.02
          0.002	       5.666232	           0.04
          0.003	       9.082639	           0.06
          0.004	       12.55487	           0.08
          0.005	       16.02338	            0.1
          0.006	       19.49213	           0.12
          0.007	       22.82419	           0.14
          0.008	       25.23241	           0.16
          0.009	       27.44253	           0.18
           0.01	       29.66428	            0.2
          0.011	       31.86894	           0.22
          0.012	       34.08099	           0.24
          0.013	       36.29305	           0.26
          0.014	       38.51748	           0.28
          0.015	       40.72909	            0.3
          0.016	       42.94804	           0.32
          0.017	       45.16611	           0.34
          0.018	       47.37826	           0.36
          0.019	       49.59366	           0.38
           0.02	       51.80367	            0.4
          0.021	       54.01907	           0.42
          0.022	       56.23249	           0.44
          0.023	       58.44414	           0.46
          0.024	       60.65212	           0.48
          0.025	       62.86388	            0.5
          0.026	       65.07587	           0.52
          0.027	       67.28521	           0.54
          0.028	       69.49602	           0.56
          0.029	        71.7051	           0.58
           0.03	       73.91717	            0.6
          0.031	       76.12791	           0.62
          0.032	       78.34962	           0.64
          0.033	       80.55562	           0.66
          0.034	       82.76755	           0.68
          0.035	       84.97697	            0.7
          0.036	       87.18739	           0.72
          0.037	       89.39953	           0.74
          0.038	       91.60723	           0.76
          0.039	       93.82255	           0.78
           0.04	       96.02953	            0.8
          0.041	       98.24038	           0.82
          0.042	       100.4489	           0.84
          0.043	       102.6609	           0.86
          0.044	       104.8713	           0.88
          0.045	       107.0831	            0.9
          0.046	       109.3008	           0.92
          0.047	       111.5167	           0.94
          0.048	       113.7264	           0.96
          0.049	       115.9376	           0.98
           0.05	        118.154	              1
          0.051	       120.3606	              1
          0.052	       122.5731	              1
          0.053	       124.7824	            1.1
          0.054	       126.9921	            1.1
          0.055	       129.2004	            1.1
          0.056	        131.412	            1.1
          0.057	       133.6234	            1.1
          0.058	       135.8412	            1.2
          0.059	       138.0526	            1.2
           0.06	       140.2795	            1.2
          0.061	       142.4896	            1.2
          0.062	       144.6975	            1.2
          0.063	       146.9079	            1.3
          0.064	       149.1151	            1.3
          0.065	       151.3241	            1.3
          0.066	       153.5389	            1.3
          0.067	       155.7496	            1.3
          0.068	       157.9595	            1.4
          0.069	       160.1722	            1.4
           0.07	        162.401	            1.4
          0.071	       164.6125	            1.4
          0.072	       166.8349	            1.4
          0.073	       169.0444	            1.5
          0.074	       171.2674	            1.5
          0.075	       173.4829	            1.5
          0.076	       175.7029	            1.5
          0.077	       177.9168	            1.5
          0.078	       180.1285	            1.6
          0.079	       182.3408	            1.6
           0.08	       184.5518	            1.6
          0.081	       186.7631	            1.6
          0.082	       188.9821	            1.6
          0.083	       191.2069	            1.7
          0.084	       193.4196	            1.7
          0.085	        195.394	            1.7
          0.086	       195.5506	            1.7
          0.087	       195.5842	            1.7
          0.088	       195.6137	            1.8
          0.089	       195.6443	            1.8
           0.09	       196.8974	            1.8
          0.091	       196.9838	            1.8
          0.092	       197.0705	            1.8
          0.093	       197.1023	            1.9
          0.094	       197.1725	            1.9
          0.095	       197.3269	            1.9
          0.096	       197.4414	            1.9
          0.097	       197.5272	            1.9
          0.098	       197.5591	              2
          0.099	       197.6518	              2
            0.1	       198.4987	              2
          0.101	       198.5464	              2
          0.102	        198.577	              2
          0.103	        199.065	            2.1
          0.104	       199.1795	            2.1
          0.105	       199.8346	            2.1
          0.106	       199.9353	            2.1
          0.107	       200.2053	            2.1
          0.108	        200.241	            2.2
          0.109	       200.5451	            2.2
           0.11	       200.8824	            2.2
          0.111	       201.1379	            2.2
          0.112	       201.1865	            2.2
          0.113	       201.4455	            2.3
          0.114	       201.5302	            2.3
          0.115	       201.8482	            2.3
          0.116	       201.9331	            2.3
          0.117	       202.1923	            2.3
          0.118	       202.2264	            2.4
          0.119	        202.537	            2.4
           0.12	       202.8495	            2.4
          0.121	       203.1058	            2.4
          0.122	       203.1409	            2.4
          0.123	       203.3955	            2.5
          0.124	       203.4798	            2.5
          0.125	       203.8024	            2.5
          0.126	       203.8923	            2.5
          0.127	       204.1495	            2.5
          0.128	       204.1847	            2.6
          0.129	       204.4898	            2.6
           0.13	       204.7973	            2.6
          0.131	       205.0505	            2.6
          0.132	       205.0852	            2.6
          0.133	       205.3442	            2.7
          0.134	       205.4402	            2.7
          0.135	       205.7651	            2.7
          0.136	       205.8532	            2.7
          0.137	       206.1081	            2.7
          0.138	       206.1443	            2.8
          0.139	       206.4575	            2.8
           0.14	       206.7776	            2.8
          0.141	       207.0325	            2.8
          0.142	       207.0674	            2.8
          0.143	       207.3224	            2.9
          0.144	       207.4096	            2.9
          0.145	       207.7285	            2.9
          0.146	        207.822	            2.9
          0.147	       208.0723	            2.9
          0.148	       208.1067	              3
          0.149	       208.4063	              3
           0.15	       208.6503	              3
          0.151	        208.905	              3
          0.152	       208.9499	              3
          0.153	       209.2061	            3.1
          0.154	       209.3042	            3.1
          0.155	       209.6129	            3.1
          0.156	       209.7459	            3.1
          0.157	       210.0044	            3.1
          0.158	       210.0401	            3.2
          0.159	       210.3567	            3.2
           0.16	       210.6821	            3.2
          0.161	       210.9393	            3.2
          0.162	       210.9887	            3.2
          0.163	       211.2377	            3.3
          0.164	       211.3354	            3.3
          0.165	       211.6466	            3.3
          0.166	        211.747	            3.3
          0.167	       212.0014	            3.3
          0.168	       212.0569	            3.4
          0.169	       212.3638	            3.4
           0.17	       212.6964	            3.4
          0.171	       212.9514	            3.4
          0.172	       212.9985	            3.4
          0.173	       213.2465	            3.5
          0.174	       213.3373	            3.5
          0.175	       213.6521	            3.5
          0.176	       213.7475	            3.5
          0.177	       214.0115	            3.5
          0.178	       214.0465	            3.6
          0.179	       214.3645	            3.6
           0.18	       214.6911	            3.6
          0.181	       214.9472	            3.6
          0.182	       214.9812	            3.6
          0.183	       215.2336	            3.7
          0.184	       215.3313	            3.7
          0.185	       215.6464	            3.7
          0.186	       215.7327	            3.7
          0.187	       215.9891	            3.7
          0.188	       216.0346	            3.8
          0.189	       216.3464	            3.8
           0.19	       216.6505	            3.8
          0.191	       216.9167	            3.8
          0.192	       216.9846	            3.8
          0.193	       217.2384	            3.9
          0.194	       217.3299	            3.9
          0.195	       217.6455	            3.9
          0.196	       217.7255	            3.9
          0.197	       217.9813	            3.9
          0.198	       218.0158	              4
          0.199	        218.317	              4
            0.2	       218.6242	              4
          0.201	       218.8913	              4
          0.202	       218.9268	              4
          0.203	       219.1919	            4.1
          0.204	       219.2751	            4.1
          0.205	       219.5881	            4.1
          0.206	       219.6757	            4.1
          0.207	       219.9339	            4.1
          0.208	       219.9691	            4.2
          0.209	       220.2819	            4.2
           0.21	       220.5909	            4.2
          0.211	       220.8444	            4.2
          0.212	       220.8897	            4.2
          0.213	       221.1509	            4.3
          0.214	       221.2352	            4.3
          0.215	       221.5487	            4.3
          0.216	       221.6308	            4.3
          0.217	       221.8881	            4.3
          0.218	       221.9227	            4.4
          0.219	       222.2271	            4.4
           0.22	       222.5498	            4.4
          0.221	       222.8029	            4.4
          0.222	        222.848	            4.4
          0.223	       223.1063	            4.5
          0.224	        223.192	            4.5
          0.225	       223.5061	            4.5
          0.226	       223.5867	            4.5
          0.227	       223.8404	            4.5
          0.228	        223.875	            4.6
          0.229	        224.179	            4.6
           0.23	       224.4842	            4.6
          0.231	       224.7397	            4.6
          0.232	       224.7741	            4.6
          0.233	       225.0292	            4.7
          0.234	       225.1144	            4.7
          0.235	       225.4298	            4.7
          0.236	       225.5133	            4.7
          0.237	       225.7739	            4.7
          0.238	       225.8094	            4.8
          0.239	       226.1143	            4.8
           0.24	       226.4227	            4.8
          0.241	       226.6778	            4.8
          0.242	       226.7151	            4.8
          0.243	       226.9691	            4.9
          0.244	       227.0601	            4.9
          0.245	       227.3802	            4.9
          0.246	       227.4635	            4.9
          0.247	        227.711	            4.9
          0.248	       227.7562	              5
          0.249	       228.0653	              5
           0.25	       228.3695	              5
          0.251	       228.6429	              5
          0.252	       228.6918	              5
          0.253	       228.9404	            5.1
          0.254	       229.0367	            5.1
          0.255	       229.3596	            5.1
          0.256	       229.4424	            5.1
          0.257	       229.6969	            5.1
          0.258	       229.7318	            5.2
          0.259	       230.0356	            5.2
           0.26	       230.3548	            5.2
          0.261	       230.6113	            5.2
          0.262	       230.6468	            5.2
          0.263	       230.9051	            5.3
          0.264	       230.9931	            5.3
          0.265	        231.306	            5.3
          0.266	       231.3897	            5.3
          0.267	       231.6522	            5.3
          0.268	       231.6975	            5.4
          0.269	        232.006	            5.4
           0.27	       232.3137	            5.4
          0.271	       232.5704	            5.4
          0.272	       232.6158	            5.4
          0.273	       232.8727	            5.5
          0.274	       232.9688	            5.5
          0.275	       233.2906	            5.5
          0.276	       233.3753	            5.5
          0.277	       233.6315	            5.5
          0.278	       233.6661	            5.6
          0.279	       233.9654	            5.6
           0.28	       234.2797	            5.6
          0.281	       234.5323	            5.6
          0.282	       234.5878	            5.6
          0.283	       234.8426	            5.7
          0.284	       234.9286	            5.7
          0.285	       235.2457	            5.7
          0.286	       235.3288	            5.7
          0.287	       235.5838	            5.7
          0.288	       235.6179	            5.8
          0.289	       235.9234	            5.8
           0.29	       236.2306	            5.8
          0.291	       236.4877	            5.8
          0.292	       236.5224	            5.8
          0.293	       236.7776	            5.9
          0.294	       236.8648	            5.9
          0.295	       237.1751	            5.9
          0.296	       237.2594	            5.9
          0.297	       237.5416	            5.9
          0.298	       237.5797	              6
          0.299	       237.8878	              6
            0.3	       238.1995	              6
          0.301	       238.4522	              6
          0.302	        238.489	              6
          0.303	       238.7531	            6.1
          0.304	       238.8475	            6.1
          0.305	        239.164	            6.1
          0.306	       239.2302	            6.1
          0.307	       239.5302	            6.1
          0.308	       239.5672	            6.2
          0.309	       239.8818	            6.2
           0.31	       240.1853	            6.2
          0.311	       240.4487	            6.2
          0.312	       240.4934	            6.2
          0.313	       240.7476	            6.3
          0.314	       240.8364	            6.3
          0.315	       241.1495	            6.3
          0.316	       241.1951	            6.3
          0.317	       241.4941	            6.3
          0.318	       241.5312	            6.4
          0.319	       241.8369	            6.4
           0.32	       242.1428	            6.4
          0.321	       242.4015	            6.4
          0.322	       242.4583	            6.4
          0.323	       242.7108	            6.5
          0.324	       242.7973	            6.5
          0.325	       243.1132	            6.5
          0.326	       243.1492	            6.5
          0.327	       243.4455	            6.5
          0.328	       243.5011	            6.6
          0.329	       243.8041	            6.6
           0.33	       244.1201	            6.6
          0.331	       244.3765	            6.6
          0.332	       244.4216	            6.6
          0.333	       244.6773	            6.7
          0.334	       244.7632	            6.7
          0.335	       245.0749	            6.7
          0.336	       245.1208	            6.7
          0.337	       245.4174	            6.7
          0.338	       245.4732	            6.8
          0.339	       245.7799	            6.8
