   Simtime [s] 	   Realtime [s]	 Percentage [%]
          0.001	      0.3040151	           0.02
          0.002	      0.4013084	           0.04
          0.003	      0.6951877	           0.06
          0.004	      0.9271293	           0.08
          0.005	       1.138677	            0.1
          0.006	       1.378919	           0.12
          0.007	       1.575861	           0.14
          0.008	       1.734002	           0.16
          0.009	       1.867457	           0.18
           0.01	         2.0083	            0.2
          0.011	       2.148742	           0.22
          0.012	       2.295755	           0.24
          0.013	       2.459705	           0.26
          0.014	        2.60367	           0.28
          0.015	       2.728367	            0.3
          0.016	        2.86645	           0.32
          0.017	       2.997577	           0.34
          0.018	       3.152272	           0.36
          0.019	       3.302798	           0.38
           0.02	       3.439684	            0.4
          0.021	        3.60074	           0.42
          0.022	       3.758498	           0.44
          0.023	       3.906687	           0.46
          0.024	       4.075645	           0.48
          0.025	       4.225014	            0.5
          0.026	       4.382657	           0.52
          0.027	       4.556895	           0.54
          0.028	       4.725756	           0.56
          0.029	       4.890369	           0.58
           0.03	         5.0633	            0.6
          0.031	       5.214949	           0.62
          0.032	       5.364385	           0.64
          0.033	        5.50363	           0.66
          0.034	         5.6679	           0.68
          0.035	       5.828462	            0.7
          0.036	       5.997176	           0.72
          0.037	       6.157981	           0.74
          0.038	          6.318	           0.76
          0.039	       6.479341	           0.78
           0.04	       6.639279	            0.8
          0.041	       6.804968	           0.82
          0.042	       6.967085	           0.84
          0.043	       7.129435	           0.86
          0.044	       7.298219	           0.88
          0.045	       7.461528	            0.9
          0.046	       7.620472	           0.92
          0.047	       7.782461	           0.94
          0.048	        7.93403	           0.96
          0.049	       8.095814	           0.98
           0.05	       8.212502	              1
          0.051	       8.338207	              1
          0.052	        8.48425	              1
          0.053	       8.639018	            1.1
          0.054	       8.786604	            1.1
          0.055	       8.915707	            1.1
          0.056	        9.06284	            1.1
          0.057	       9.201386	            1.1
          0.058	       9.330758	            1.2
          0.059	       9.449953	            1.2
           0.06	       9.595293	            1.2
          0.061	       9.714038	            1.2
          0.062	       9.843618	            1.2
          0.063	        9.95865	            1.3
          0.064	       10.10294	            1.3
          0.065	       10.24302	            1.3
          0.066	       10.37951	            1.3
          0.067	       10.49656	            1.3
          0.068	       10.62431	            1.4
          0.069	       10.76382	            1.4
           0.07	       10.89036	            1.4
          0.071	       11.01101	            1.4
          0.072	       11.15342	            1.4
          0.073	        11.2913	            1.5
          0.074	       11.44702	            1.5
          0.075	        11.5672	            1.5
          0.076	       11.70711	            1.5
          0.077	       11.84396	            1.5
          0.078	        11.9673	            1.6
          0.079	       12.10854	            1.6
           0.08	       12.24121	            1.6
          0.081	       12.37331	            1.6
          0.082	       12.51957	            1.6
          0.083	       12.64948	            1.7
          0.084	       12.79178	            1.7
          0.085	       12.92289	            1.7
          0.086	       12.94334	            1.7
          0.087	       12.95763	            1.7
          0.088	       12.97123	            1.8
          0.089	       12.98831	            1.8
           0.09	        13.0866	            1.8
          0.091	        13.1075	            1.8
          0.092	       13.12316	            1.8
          0.093	       13.13824	            1.9
          0.094	       13.16265	            1.9
          0.095	       13.18186	            1.9
          0.096	       13.20426	            1.9
          0.097	       13.21553	            1.9
          0.098	       13.23208	              2
          0.099	       13.25601	              2
            0.1	         13.325	              2
          0.101	       13.34092	              2
          0.102	       13.35658	              2
          0.103	        13.4105	            2.1
          0.104	       13.43517	            2.1
          0.105	       13.48372	            2.1
          0.106	       13.49934	            2.1
          0.107	       13.53432	            2.1
          0.108	       13.55043	            2.2
          0.109	       13.58012	            2.2
           0.11	       13.61119	            2.2
          0.111	       13.64038	            2.2
          0.112	       13.66023	            2.2
          0.113	       13.68832	            2.3
          0.114	       13.70565	            2.3
          0.115	       13.73571	            2.3
          0.116	       13.74946	            2.3
          0.117	       13.77969	            2.3
          0.118	       13.79541	            2.4
          0.119	       13.82517	            2.4
           0.12	       13.85908	            2.4
          0.121	       13.88892	            2.4
