   Simtime [s] 	   Realtime [s]	 Percentage [%]
          0.001	       5.228781	           0.02
          0.002	        7.57364	           0.04
          0.003	       12.15917	           0.06
          0.004	       16.79385	           0.08
          0.005	        21.4244	            0.1
          0.006	       26.05953	           0.12
          0.007	       30.51345	           0.14
          0.008	       33.71537	           0.16
          0.009	       36.67331	           0.18
           0.01	       39.61859	            0.2
          0.011	       42.56175	           0.22
          0.012	       45.51476	           0.24
          0.013	       48.45739	           0.26
          0.014	       51.41916	           0.28
          0.015	       54.36205	            0.3
          0.016	        57.3065	           0.32
          0.017	       60.25457	           0.34
          0.018	       63.19961	           0.36
          0.019	        66.1459	           0.38
           0.02	       69.10464	            0.4
          0.021	       72.05333	           0.42
          0.022	       75.00073	           0.44
          0.023	       77.95085	           0.46
          0.024	       80.90481	           0.48
          0.025	       83.86426	            0.5
          0.026	       86.81168	           0.52
          0.027	       89.76065	           0.54
          0.028	       92.70848	           0.56
          0.029	       95.65666	           0.58
           0.03	       98.60035	            0.6
          0.031	       101.5505	           0.62
          0.032	       104.4965	           0.64
          0.033	       107.4416	           0.66
          0.034	       110.3994	           0.68
          0.035	       113.3455	            0.7
          0.036	       116.3147	           0.72
          0.037	       119.2589	           0.74
          0.038	       122.2043	           0.76
          0.039	       125.1469	           0.78
           0.04	       128.0922	            0.8
          0.041	       131.0374	           0.82
          0.042	       133.9809	           0.84
          0.043	       136.9277	           0.86
          0.044	        139.869	           0.88
          0.045	       142.8357	            0.9
          0.046	       145.7862	           0.92
          0.047	       148.7332	           0.94
          0.048	       151.6795	           0.96
          0.049	       154.6267	           0.98
           0.05	       157.5723	              1
          0.051	       160.5208	              1
          0.052	       163.4689	              1
          0.053	       166.4189	            1.1
          0.054	       169.3654	            1.1
          0.055	         172.31	            1.1
          0.056	       175.2549	            1.1
          0.057	       178.2043	            1.1
          0.058	       181.1513	            1.2
          0.059	       184.0959	            1.2
           0.06	       187.0644	            1.2
          0.061	       190.0124	            1.2
          0.062	       192.9568	            1.2
          0.063	        195.902	            1.3
          0.064	       198.8496	            1.3
          0.065	       201.7979	            1.3
          0.066	        204.747	            1.3
          0.067	       207.6923	            1.3
          0.068	       210.6418	            1.4
          0.069	       213.5865	            1.4
           0.07	       216.5323	            1.4
          0.071	       219.4786	            1.4
          0.072	       222.4236	            1.4
          0.073	       225.3694	            1.5
          0.074	       228.3148	            1.5
          0.075	       231.2632	            1.5
          0.076	       234.2077	            1.5
          0.077	       237.1551	            1.5
          0.078	       240.1014	            1.6
          0.079	       243.0472	            1.6
           0.08	            246	            1.6
          0.081	       248.9441	            1.6
          0.082	       251.8924	            1.6
          0.083	        254.848	            1.7
          0.084	       257.7942	            1.7
          0.085	       260.4237	            1.7
          0.086	       260.6445	            1.7
          0.087	       260.6928	            1.7
          0.088	       260.7654	            1.8
          0.089	       260.8084	            1.8
           0.09	       262.4536	            1.8
          0.091	       262.5672	            1.8
          0.092	       262.7006	            1.8
          0.093	       262.7588	            1.9
          0.094	       262.8571	            1.9
          0.095	       263.0529	            1.9
          0.096	       263.2087	            1.9
          0.097	       263.3254	            1.9
          0.098	       263.3815	              2
          0.099	       263.5036	              2
            0.1	       264.6536	              2
          0.101	       264.7044	              2
          0.102	        264.746	              2
          0.103	       265.3989	            2.1
          0.104	       265.5297	            2.1
          0.105	       266.3958	            2.1
          0.106	       266.5433	            2.1
          0.107	       266.9003	            2.1
          0.108	       266.9487	            2.2
          0.109	       267.3555	            2.2
           0.11	       267.8097	            2.2
          0.111	       268.1595	            2.2
          0.112	       268.2081	            2.2
          0.113	        268.548	            2.3
          0.114	       268.6749	            2.3
