   Simtime [s] 	   Realtime [s]	 Percentage [%]
          0.001	      0.1755705	           0.02
          0.002	      0.2257251	           0.04
          0.003	      0.3559304	           0.06
          0.004	      0.4816269	           0.08
          0.005	      0.6087931	            0.1
          0.006	      0.7378797	           0.12
          0.007	      0.8656795	           0.14
          0.008	      0.9559992	           0.16
          0.009	        1.03979	           0.18
           0.01	        1.12549	            0.2
          0.011	       1.212643	           0.22
          0.012	       1.294863	           0.24
          0.013	       1.374304	           0.26
          0.014	       1.453402	           0.28
          0.015	       1.539342	            0.3
          0.016	       1.619093	           0.32
          0.017	       1.702818	           0.34
          0.018	       1.781648	           0.36
          0.019	        1.86582	           0.38
           0.02	       1.946948	            0.4
          0.021	       2.024633	           0.42
          0.022	       2.104978	           0.44
          0.023	       2.185972	           0.46
          0.024	        2.26563	           0.48
          0.025	       2.347839	            0.5
          0.026	       2.430536	           0.52
          0.027	       2.509708	           0.54
          0.028	        2.59131	           0.56
          0.029	       2.676812	           0.58
           0.03	       2.756871	            0.6
          0.031	       2.842167	           0.62
          0.032	       2.928938	           0.64
          0.033	        3.00528	           0.66
          0.034	       3.088697	           0.68
          0.035	       3.168243	            0.7
          0.036	       3.249766	           0.72
          0.037	       3.339022	           0.74
          0.038	       3.419721	           0.76
          0.039	       3.502523	           0.78
           0.04	       3.588174	            0.8
          0.041	       3.668609	           0.82
          0.042	       3.747048	           0.84
          0.043	       3.826646	           0.86
          0.044	       3.911435	           0.88
          0.045	       3.990767	            0.9
          0.046	       4.072562	           0.92
          0.047	       4.152323	           0.94
          0.048	       4.239181	           0.96
          0.049	       4.320972	           0.98
           0.05	       4.402084	              1
          0.051	       4.482721	              1
          0.052	        4.56365	              1
          0.053	        4.64304	            1.1
          0.054	       4.724616	            1.1
          0.055	       4.803283	            1.1
          0.056	       4.885178	            1.1
          0.057	       4.966503	            1.1
          0.058	       5.057752	            1.2
          0.059	       5.141463	            1.2
           0.06	       5.225016	            1.2
          0.061	        5.31116	            1.2
          0.062	       5.392971	            1.2
          0.063	       5.473341	            1.3
          0.064	       5.556053	            1.3
          0.065	       5.643702	            1.3
          0.066	       5.722337	            1.3
          0.067	       5.804627	            1.3
          0.068	       5.886112	            1.4
          0.069	       5.965633	            1.4
           0.07	       6.051949	            1.4
          0.071	        6.13342	            1.4
          0.072	       6.212447	            1.4
          0.073	       6.292958	            1.5
          0.074	       6.374287	            1.5
          0.075	       6.453352	            1.5
          0.076	       6.537355	            1.5
          0.077	       6.621326	            1.5
          0.078	       6.705307	            1.6
          0.079	       6.791519	            1.6
           0.08	       6.872872	            1.6
          0.081	       6.957346	            1.6
          0.082	       7.041819	            1.6
          0.083	       7.126784	            1.7
          0.084	       7.210776	            1.7
          0.085	        7.28547	            1.7
          0.086	       7.303397	            1.7
          0.087	       7.317473	            1.7
          0.088	       7.331922	            1.8
          0.089	       7.344891	            1.8
           0.09	       7.397582	            1.8
          0.091	        7.41217	            1.8
          0.092	       7.427405	            1.8
          0.093	       7.433032	            1.9
          0.094	       7.447815	            1.9
          0.095	       7.462799	            1.9
          0.096	       7.477242	            1.9
          0.097	       7.490995	            1.9
          0.098	       7.504987	              2
          0.099	       7.520031	              2
            0.1	       7.559506	              2
          0.101	       7.574353	              2
          0.102	       7.588868	              2
          0.103	       7.609018	            2.1
          0.104	       7.622864	            2.1
          0.105	       7.651465	            2.1
          0.106	       7.665475	            2.1
          0.107	       7.679046	            2.1
          0.108	       7.692616	            2.2
          0.109	       7.715659	            2.2
           0.11	       7.734428	            2.2
          0.111	       7.755633	            2.2
          0.112	       7.768543	            2.2
          0.113	       7.786532	            2.3
          0.114	       7.800338	            2.3
          0.115	       7.815874	            2.3
          0.116	       7.831169	            2.3
          0.117	        7.84896	            2.3
          0.118	       7.862914	            2.4
          0.119	       7.887817	            2.4
           0.12	       7.906321	            2.4
          0.121	       7.919199	            2.4
          0.122	         7.9324	            2.4
          0.123	       7.952609	            2.5
          0.124	       7.966978	            2.5
          0.125	       7.991891	            2.5
          0.126	       8.006755	            2.5
