   Simtime [s] 	   Realtime [s]	 Percentage [%]
          0.001	       4.589101	           0.02
          0.002	       6.687756	           0.04
          0.003	        10.6489	           0.06
          0.004	       14.70653	           0.08
          0.005	       18.77367	            0.1
          0.006	       22.83401	           0.12
          0.007	       26.73161	           0.14
          0.008	       29.53224	           0.16
          0.009	       32.12905	           0.18
           0.01	       34.71217	            0.2
          0.011	        37.2978	           0.22
          0.012	       39.88127	           0.24
          0.013	       42.46357	           0.26
          0.014	       45.06624	           0.28
          0.015	       47.65262	            0.3
          0.016	       50.23927	           0.32
          0.017	       52.82551	           0.34
          0.018	       55.41468	           0.36
          0.019	       57.99987	           0.38
           0.02	       60.59199	            0.4
          0.021	       63.17998	           0.42
          0.022	        65.7674	           0.44
          0.023	       68.35516	           0.46
          0.024	       70.94285	           0.48
          0.025	        73.5295	            0.5
          0.026	       76.11685	           0.52
          0.027	       78.70228	           0.54
          0.028	       81.28649	           0.56
          0.029	       83.88285	           0.58
           0.03	       86.47176	            0.6
          0.031	       89.05881	           0.62
          0.032	       91.64852	           0.64
          0.033	       94.23318	           0.66
          0.034	       96.82312	           0.68
          0.035	       99.40771	            0.7
          0.036	       101.9942	           0.72
          0.037	       104.5796	           0.74
          0.038	       107.1674	           0.76
          0.039	       109.7499	           0.78
           0.04	       112.3379	            0.8
          0.041	       114.9243	           0.82
          0.042	       117.5098	           0.84
          0.043	       120.0942	           0.86
          0.044	       122.6817	           0.88
          0.045	       125.2666	            0.9
          0.046	       127.8587	           0.92
          0.047	       130.4456	           0.94
          0.048	       133.0305	           0.96
          0.049	       135.6291	           0.98
           0.05	        138.214	              1
          0.051	       140.7996	              1
          0.052	       143.3984	              1
          0.053	       145.9825	            1.1
          0.054	       148.5769	            1.1
          0.055	       151.1633	            1.1
          0.056	       153.7583	            1.1
          0.057	       156.3399	            1.1
          0.058	       158.9379	            1.2
          0.059	       161.5233	            1.2
           0.06	       164.1299	            1.2
          0.061	       166.7269	            1.2
          0.062	       169.3135	            1.2
          0.063	       171.9157	            1.3
          0.064	        174.502	            1.3
          0.065	        177.086	            1.3
          0.066	       179.6717	            1.3
          0.067	       182.2596	            1.3
          0.068	       184.8522	            1.4
          0.069	       187.4407	            1.4
           0.07	       190.0228	            1.4
          0.071	       192.6092	            1.4
          0.072	        195.204	            1.4
          0.073	       197.7864	            1.5
          0.074	       200.3747	            1.5
          0.075	       202.9638	            1.5
          0.076	       205.5589	            1.5
          0.077	       208.1421	            1.5
          0.078	       210.7405	            1.6
          0.079	       213.3356	            1.6
           0.08	       215.9309	            1.6
          0.081	       218.5158	            1.6
          0.082	        221.101	            1.6
          0.083	       223.6898	            1.7
          0.084	       226.2782	            1.7
          0.085	        228.594	            1.7
          0.086	        228.773	            1.7
          0.087	       228.8134	            1.7
          0.088	       228.8606	            1.8
          0.089	       228.8954	            1.8
           0.09	       230.3548	            1.8
          0.091	       230.4557	            1.8
          0.092	       230.5606	            1.8
          0.093	       230.5992	            1.9
          0.094	       230.6828	            1.9
          0.095	       230.8549	            1.9
          0.096	       230.9913	            1.9
          0.097	       231.0924	            1.9
          0.098	       231.1314	              2
          0.099	       231.2459	              2
            0.1	       232.2374	              2
          0.101	       232.2817	              2
          0.102	       232.3168	              2
          0.103	       232.8912	            2.1
          0.104	       232.9961	            2.1
          0.105	       233.7605	            2.1
          0.106	       233.8767	            2.1
          0.107	       234.1937	            2.1
          0.108	        234.247	            2.2
          0.109	        234.605	            2.2
           0.11	       235.0022	            2.2
          0.111	       235.3114	            2.2
          0.112	       235.3652	            2.2
          0.113	       235.6673	            2.3
          0.114	       235.7681	            2.3
          0.115	       236.1503	            2.3
          0.116	       236.2526	            2.3
          0.117	        236.551	            2.3
          0.118	       236.5938	            2.4
          0.119	       236.9541	            2.4
           0.12	       237.3135	            2.4
          0.121	       237.6114	            2.4
          0.122	       237.6534	            2.4
          0.123	       237.9637	            2.5
          0.124	       238.0651	            2.5
          0.125	       238.4493	            2.5
          0.126	       238.5514	            2.5
          0.127	       238.8493	            2.5
          0.128	       238.9021	            2.6
          0.129	       239.2527	            2.6
           0.13	       239.6261	            2.6
          0.131	       239.9265	            2.6
          0.132	        239.989	            2.6
          0.133	       240.2845	            2.7
          0.134	       240.3992	            2.7
          0.135	       240.7634	            2.7
          0.136	       240.8655	            2.7
          0.137	        241.162	            2.7
          0.138	        241.216	            2.8
          0.139	       241.5735	            2.8
           0.14	       241.9488	            2.8
          0.141	       242.2466	            2.8
          0.142	       242.3002	            2.8
          0.143	       242.5983	            2.9
          0.144	       242.6982	            2.9
          0.145	       243.0756	            2.9
          0.146	       243.1969	            2.9
          0.147	       243.4898	            2.9
          0.148	       243.5319	              3
          0.149	       243.8877	              3
           0.15	       244.1708	              3
          0.151	       244.4653	              3
          0.152	       244.5069	              3
          0.153	       244.8035	            3.1
          0.154	       244.9261	            3.1
          0.155	       245.2948	            3.1
          0.156	       245.4139	            3.1
          0.157	       245.7086	            3.1
          0.158	       245.7535	            3.2
          0.159	       246.1053	            3.2
           0.16	       246.4604	            3.2
          0.161	       246.7633	            3.2
          0.162	       246.8254	            3.2
          0.163	       247.1191	            3.3
          0.164	       247.2237	            3.3
          0.165	       247.5922	            3.3
          0.166	       247.7029	            3.3
          0.167	       247.9987	            3.3
          0.168	         248.04	            3.4
          0.169	       248.3911	            3.4
           0.17	       248.7582	            3.4
          0.171	       249.0542	            3.4
          0.172	       249.1085	            3.4
          0.173	       249.4027	            3.5
          0.174	        249.505	            3.5
          0.175	       249.8729	            3.5
          0.176	       249.9726	            3.5
          0.177	       250.2642	            3.5
          0.178	        250.316	            3.6
          0.179	       250.6759	            3.6
           0.18	        251.044	            3.6
          0.181	       251.3508	            3.6
          0.182	       251.4027	            3.6
          0.183	       251.6982	            3.7
          0.184	       251.8032	            3.7
          0.185	       252.1654	            3.7
          0.186	       252.2769	            3.7
          0.187	        252.578	            3.7
          0.188	       252.6298	            3.8
          0.189	        252.986	            3.8
           0.19	        253.352	            3.8
          0.191	       253.6598	            3.8
          0.192	       253.7001	            3.8
          0.193	       253.9901	            3.9
          0.194	       254.1062	            3.9
          0.195	       254.4745	            3.9
          0.196	       254.5818	            3.9
          0.197	       254.8809	            3.9
          0.198	       254.9456	              4
          0.199	       255.3009	              4
            0.2	       255.6583	              4
          0.201	       255.9658	              4
          0.202	       256.0384	              4
          0.203	       256.3421	            4.1
          0.204	       256.4502	            4.1
          0.205	       256.8204	            4.1
          0.206	       256.9237	            4.1
          0.207	       257.2204	            4.1
          0.208	       257.2621	            4.2
          0.209	       257.6189	            4.2
           0.21	       257.9756	            4.2
          0.211	       258.2706	            4.2
          0.212	        258.322	            4.2
          0.213	        258.621	            4.3
          0.214	       258.7223	            4.3
          0.215	       259.0872	            4.3
          0.216	       259.1828	            4.3
          0.217	       259.4809	            4.3
          0.218	       259.5232	            4.4
          0.219	       259.8742	            4.4
           0.22	       260.2422	            4.4
          0.221	       260.5421	            4.4
          0.222	       260.6144	            4.4
          0.223	       260.9111	            4.5
          0.224	       261.0128	            4.5
          0.225	       261.3774	            4.5
          0.226	        261.469	            4.5
          0.227	        261.765	            4.5
          0.228	       261.8161	            4.6
          0.229	       262.1709	            4.6
           0.23	        262.529	            4.6
          0.231	       262.8263	            4.6
          0.232	       262.8794	            4.6
          0.233	       263.1757	            4.7
          0.234	        263.284	            4.7
          0.235	       263.6523	            4.7
          0.236	       263.7512	            4.7
          0.237	       264.0443	            4.7
          0.238	        264.117	            4.8
          0.239	       264.4743	            4.8
           0.24	       264.8322	            4.8
          0.241	       265.1263	            4.8
          0.242	        265.167	            4.8
          0.243	       265.4623	            4.9
          0.244	       265.5823	            4.9
          0.245	       265.9472	            4.9
          0.246	       266.0427	            4.9
          0.247	       266.3394	            4.9
          0.248	       266.3805	              5
          0.249	       266.7394	              5
           0.25	       267.1024	              5
          0.251	       267.4041	              5
          0.252	       267.4566	              5
          0.253	       267.7617	            5.1
          0.254	       267.8656	            5.1
          0.255	       268.2334	            5.1
          0.256	       268.3244	            5.1
          0.257	        268.629	            5.1
          0.258	       268.6724	            5.2
          0.259	        269.024	            5.2
           0.26	       269.3954	            5.2
          0.261	       269.6929	            5.2
          0.262	        269.734	            5.2
          0.263	       270.0346	            5.3
          0.264	       270.1577	            5.3
          0.265	       270.5226	            5.3
          0.266	       270.6176	            5.3
          0.267	       270.9114	            5.3
          0.268	       270.9536	            5.4
          0.269	       271.3162	            5.4
           0.27	       271.6786	            5.4
          0.271	       271.9774	            5.4
          0.272	        272.029	            5.4
          0.273	       272.3271	            5.5
          0.274	       272.4486	            5.5
          0.275	       272.8176	            5.5
          0.276	       272.9252	            5.5
          0.277	       273.2284	            5.5
          0.278	       273.2697	            5.6
          0.279	       273.6256	            5.6
           0.28	       274.0054	            5.6
          0.281	       274.3038	            5.6
          0.282	       274.3556	            5.6
          0.283	       274.6465	            5.7
          0.284	       274.7475	            5.7
          0.285	       275.1149	            5.7
          0.286	       275.2131	            5.7
          0.287	       275.5161	            5.7
          0.288	       275.5676	            5.8
          0.289	       275.9227	            5.8
           0.29	       276.2871	            5.8
          0.291	       276.5844	            5.8
          0.292	       276.6567	            5.8
          0.293	       276.9592	            5.9
          0.294	       277.0605	            5.9
          0.295	       277.4277	            5.9
          0.296	       277.5051	            5.9
          0.297	        277.839	            5.9
          0.298	       277.8806	              6
          0.299	       278.2502	              6
            0.3	       278.6052	              6
          0.301	       278.9013	              6
          0.302	       278.9422	              6
          0.303	       279.2421	            6.1
          0.304	       279.3522	            6.1
          0.305	       279.7171	            6.1
          0.306	       279.7585	            6.1
          0.307	       280.1192	            6.1
          0.308	       280.1607	            6.2
          0.309	       280.5134	            6.2
           0.31	        280.873	            6.2
          0.311	       281.1806	            6.2
          0.312	       281.2228	            6.2
          0.313	       281.5179	            6.3
          0.314	       281.6188	            6.3
          0.315	       281.9854	            6.3
          0.316	        282.037	            6.3
          0.317	       282.3818	            6.3
          0.318	       282.4233	            6.4
          0.319	       282.7818	            6.4
           0.32	       283.1443	            6.4
          0.321	       283.4513	            6.4
          0.322	        283.495	            6.4
          0.323	       283.7917	            6.5
          0.324	       283.8984	            6.5
          0.325	       284.2643	            6.5
          0.326	       284.3052	            6.5
          0.327	       284.6534	            6.5
          0.328	       284.6976	            6.6
          0.329	       285.0533	            6.6
           0.33	        285.408	            6.6
          0.331	       285.7038	            6.6
          0.332	       285.7658	            6.6
          0.333	       286.0648	            6.7
          0.334	        286.168	            6.7
          0.335	        286.534	            6.7
          0.336	       286.5782	            6.7
          0.337	       286.9269	            6.7
          0.338	       286.9674	            6.8
          0.339	       287.3223	            6.8
           0.34	       287.6767	            6.8
          0.341	       287.9774	            6.8
          0.342	       288.0289	            6.8
          0.343	       288.3317	            6.9
          0.344	        288.444	            6.9
          0.345	       288.8114	            6.9
          0.346	       288.8539	            6.9
          0.347	        289.201	            6.9
          0.348	       289.2535	              7
          0.349	       289.6055	              7
           0.35	       289.9648	              7
          0.351	       290.2653	              7
          0.352	       290.3169	              7
          0.353	       290.6131	            7.1
          0.354	        290.716	            7.1
          0.355	       291.0826	            7.1
          0.356	       291.1238	            7.1
