   Simtime [s] 	   Realtime [s]	 Percentage [%]
          0.001	      0.1082624	           0.02
          0.002	      0.1482601	           0.04
          0.003	      0.2363168	           0.06
          0.004	      0.3205857	           0.08
          0.005	      0.4013023	            0.1
          0.006	      0.4860974	           0.12
          0.007	      0.5589531	           0.14
          0.008	      0.6203358	           0.16
          0.009	      0.6697798	           0.18
           0.01	      0.7273638	            0.2
          0.011	      0.7841651	           0.22
          0.012	      0.8328672	           0.24
          0.013	      0.8813114	           0.26
          0.014	      0.9306717	           0.28
          0.015	      0.9883321	            0.3
          0.016	        1.03709	           0.32
          0.017	       1.094032	           0.34
          0.018	       1.151647	           0.36
          0.019	       1.208201	           0.38
           0.02	       1.265347	            0.4
          0.021	        1.32346	           0.42
          0.022	       1.372564	           0.44
          0.023	       1.430065	           0.46
          0.024	       1.478339	           0.48
          0.025	       1.526662	            0.5
          0.026	       1.575429	           0.52
          0.027	       1.631062	           0.54
          0.028	       1.688588	           0.56
          0.029	        1.73662	           0.58
           0.03	       1.794107	            0.6
          0.031	       1.851704	           0.62
          0.032	       1.907322	           0.64
          0.033	       1.964052	           0.66
          0.034	       2.021337	           0.68
          0.035	       2.070084	            0.7
          0.036	       2.119126	           0.72
          0.037	       2.167614	           0.74
          0.038	       2.224747	           0.76
          0.039	       2.273483	           0.78
           0.04	       2.322686	            0.8
          0.041	       2.380106	           0.82
          0.042	       2.428651	           0.84
          0.043	       2.485174	           0.86
          0.044	       2.534073	           0.88
          0.045	       2.591862	            0.9
          0.046	       2.650049	           0.92
          0.047	       2.707527	           0.94
          0.048	       2.764168	           0.96
          0.049	       2.821745	           0.98
           0.05	       2.877512	              1
          0.051	       2.934086	              1
          0.052	       2.991234	              1
          0.053	       3.039347	            1.1
          0.054	       3.096315	            1.1
          0.055	       3.154237	            1.1
          0.056	       3.212025	            1.1
          0.057	       3.269848	            1.1
          0.058	       3.327105	            1.2
          0.059	       3.375648	            1.2
           0.06	        3.43393	            1.2
          0.061	       3.482566	            1.2
          0.062	       3.539689	            1.2
          0.063	       3.595948	            1.3
          0.064	       3.644649	            1.3
          0.065	       3.704948	            1.3
          0.066	       3.762821	            1.3
          0.067	       3.819422	            1.3
          0.068	       3.877058	            1.4
          0.069	       3.934251	            1.4
           0.07	       3.992202	            1.4
          0.071	       4.050724	            1.4
          0.072	       4.107887	            1.4
          0.073	       4.159336	            1.5
          0.074	       4.207019	            1.5
          0.075	       4.265682	            1.5
          0.076	       4.322973	            1.5
          0.077	       4.379723	            1.5
          0.078	        4.42825	            1.6
          0.079	       4.485855	            1.6
           0.08	       4.542522	            1.6
          0.081	       4.598455	            1.6
          0.082	       4.654316	            1.6
          0.083	       4.711629	            1.7
          0.084	       4.767554	            1.7
          0.085	       4.811515	            1.7
          0.086	       4.825576	            1.7
          0.087	        4.83731	            1.7
          0.088	       4.848866	            1.8
          0.089	       4.860562	            1.8
           0.09	       4.899387	            1.8
          0.091	       4.911706	            1.8
          0.092	       4.915729	            1.8
          0.093	       4.927351	            1.9
          0.094	        4.93918	            1.9
          0.095	       4.952959	            1.9
          0.096	       4.966368	            1.9
          0.097	       4.970788	            1.9
          0.098	       4.982207	              2
          0.099	       4.994839	              2
            0.1	       5.014929	              2
          0.101	       5.016853	              2
          0.102	       5.018807	              2
          0.103	       5.039475	            2.1
          0.104	       5.052069	            2.1
          0.105	       5.077363	            2.1
          0.106	       5.090583	            2.1
          0.107	       5.108289	            2.1
          0.108	       5.110119	            2.2
          0.109	       5.126505	            2.2
           0.11	       5.144817	            2.2
          0.111	       5.151784	            2.2
          0.112	       5.163742	            2.2
          0.113	       5.170663	            2.3
          0.114	       5.184381	            2.3
          0.115	        5.20208	            2.3
          0.116	       5.205929	            2.3
          0.117	       5.221801	            2.3
          0.118	       5.224553	            2.4
          0.119	       5.241159	            2.4
           0.12	       5.257326	            2.4
          0.121	       5.273189	            2.4
          0.122	       5.284659	            2.4
          0.123	       5.291966	            2.5
          0.124	       5.304222	            2.5
          0.125	       5.313249	            2.5
          0.126	       5.325662	            2.5
          0.127	       5.341551	            2.5
          0.128	       5.353532	            2.6
          0.129	       5.371708	            2.6
           0.13	       5.389682	            2.6
          0.131	       5.405171	            2.6
          0.132	        5.41663	            2.6
          0.133	       5.432415	            2.7
          0.134	       5.445085	            2.7
          0.135	       5.463381	            2.7
          0.136	       5.476037	            2.7
          0.137	       5.492118	            2.7
          0.138	       5.503598	            2.8
          0.139	       5.520201	            2.8
           0.14	       5.536873	            2.8
          0.141	       5.554126	            2.8
          0.142	       5.556724	            2.8
          0.143	       5.572176	            2.9
          0.144	       5.576348	            2.9
          0.145	       5.584828	            2.9
          0.146	       5.588485	            2.9
          0.147	         5.6039	            2.9
          0.148	       5.615562	              3
          0.149	       5.633906	              3
           0.15	       5.649587	              3
          0.151	       5.665451	              3
          0.152	        5.67722	              3
          0.153	       5.693085	            3.1
          0.154	       5.697392	            3.1
          0.155	       5.714358	            3.1
          0.156	       5.727166	            3.1
          0.157	       5.744911	            3.1
          0.158	       5.756026	            3.2
          0.159	       5.774527	            3.2
           0.16	       5.791484	            3.2
          0.161	       5.808712	            3.2
          0.162	       5.810699	            3.2
          0.163	       5.822056	            3.3
          0.164	       5.826634	            3.3
          0.165	       5.835368	            3.3
          0.166	       5.839456	            3.3
          0.167	        5.84672	            3.3
          0.168	       5.848463	            3.4
          0.169	       5.865249	            3.4
           0.17	       5.882433	            3.4
          0.171	        5.89998	            3.4
          0.172	       5.902735	            3.4
          0.173	       5.918564	            3.5
          0.174	       5.931005	            3.5
          0.175	       5.939653	            3.5
          0.176	       5.953325	            3.5
          0.177	       5.968857	            3.5
          0.178	       5.980398	            3.6
          0.179	        5.99651	            3.6
           0.18	       6.014715	            3.6
          0.181	       6.031903	            3.6
          0.182	       6.043554	            3.6
          0.183	       6.059591	            3.7
          0.184	       6.062776	            3.7
          0.185	       6.079663	            3.7
          0.186	       6.092868	            3.7
          0.187	       6.110723	            3.7
          0.188	       6.112526	            3.8
          0.189	       6.129322	            3.8
           0.19	       6.147079	            3.8
          0.191	       6.163167	            3.8
          0.192	       6.164824	            3.8
          0.193	       6.180575	            3.9
          0.194	       6.193386	            3.9
          0.195	       6.210526	            3.9
          0.196	       6.223209	            3.9
          0.197	       6.239872	            3.9
          0.198	       6.251524	              4
          0.199	       6.269128	              4
            0.2	       6.277565	              4
          0.201	       6.294865	              4
          0.202	       6.306401	              4
