   Simtime [s] 	   Realtime [s]	 Percentage [%]
          0.001	       0.147514	           0.02
          0.002	      0.1990454	           0.04
          0.003	      0.3123142	           0.06
          0.004	       0.426107	           0.08
          0.005	      0.5377481	            0.1
          0.006	      0.6533817	           0.12
          0.007	      0.7632533	           0.14
          0.008	      0.8429719	           0.16
          0.009	      0.9257872	           0.18
           0.01	      0.9970534	            0.2
          0.011	       1.074372	           0.22
          0.012	       1.149728	           0.24
          0.013	       1.226904	           0.26
          0.014	       1.299887	           0.28
          0.015	       1.375358	            0.3
          0.016	       1.455281	           0.32
          0.017	       1.526156	           0.34
          0.018	        1.60042	           0.36
          0.019	       1.675182	           0.38
           0.02	       1.749102	            0.4
          0.021	       1.822916	           0.42
          0.022	       1.907368	           0.44
          0.023	       1.986696	           0.46
          0.024	       2.059594	           0.48
          0.025	       2.134604	            0.5
          0.026	       2.209909	           0.52
          0.027	       2.281073	           0.54
          0.028	       2.352345	           0.56
          0.029	       2.426294	           0.58
           0.03	       2.502626	            0.6
          0.031	       2.573193	           0.62
          0.032	       2.646803	           0.64
          0.033	       2.725822	           0.66
          0.034	       2.795915	           0.68
          0.035	       2.872338	            0.7
          0.036	       2.945516	           0.72
          0.037	       3.019744	           0.74
          0.038	       3.096506	           0.76
          0.039	       3.169588	           0.78
           0.04	       3.243391	            0.8
          0.041	       3.315473	           0.82
          0.042	       3.389396	           0.84
          0.043	       3.463033	           0.86
          0.044	       3.538533	           0.88
          0.045	       3.619001	            0.9
          0.046	       3.696325	           0.92
          0.047	       3.767865	           0.94
          0.048	       3.842913	           0.96
          0.049	       3.919338	           0.98
           0.05	       3.994219	              1
          0.051	       4.071322	              1
          0.052	       4.147342	              1
          0.053	       4.218431	            1.1
          0.054	       4.296477	            1.1
          0.055	        4.36857	            1.1
          0.056	       4.441919	            1.1
          0.057	       4.514397	            1.1
          0.058	       4.584272	            1.2
          0.059	       4.663634	            1.2
           0.06	       4.735249	            1.2
          0.061	       4.807645	            1.2
          0.062	       4.884072	            1.2
          0.063	       4.954855	            1.3
          0.064	       5.029234	            1.3
          0.065	       5.107533	            1.3
          0.066	       5.181868	            1.3
          0.067	       5.258659	            1.3
          0.068	       5.334418	            1.4
          0.069	       5.414181	            1.4
           0.07	       5.489141	            1.4
          0.071	       5.566997	            1.4
          0.072	       5.645685	            1.4
          0.073	       5.717825	            1.5
          0.074	       5.792384	            1.5
          0.075	       5.872388	            1.5
          0.076	       5.943047	            1.5
          0.077	        6.01986	            1.5
          0.078	        6.09741	            1.6
          0.079	       6.172351	            1.6
           0.08	       6.244172	            1.6
          0.081	       6.322638	            1.6
          0.082	       6.393436	            1.6
          0.083	       6.467703	            1.7
          0.084	       6.540178	            1.7
          0.085	       6.606051	            1.7
          0.086	       6.620943	            1.7
          0.087	       6.634761	            1.7
          0.088	       6.648583	            1.8
          0.089	       6.661868	            1.8
           0.09	       6.710588	            1.8
          0.091	       6.724774	            1.8
          0.092	       6.732097	            1.8
          0.093	       6.745202	            1.9
          0.094	       6.759452	            1.9
          0.095	       6.775935	            1.9
          0.096	       6.791352	            1.9
          0.097	       6.805011	            1.9
          0.098	       6.818014	              2
          0.099	       6.832985	              2
            0.1	       6.870394	              2
          0.101	       6.884247	              2
          0.102	       6.897691	              2
          0.103	        6.92537	            2.1
          0.104	       6.940192	            2.1
          0.105	       6.968099	            2.1
          0.106	       6.982319	            2.1
          0.107	       7.000649	            2.1
          0.108	       7.014009	            2.2
          0.109	       7.026351	            2.2
           0.11	       7.044671	            2.2
          0.111	       7.064071	            2.2
          0.112	         7.0777	            2.2
          0.113	       7.095703	            2.3
          0.114	       7.110066	            2.3
          0.115	       7.127573	            2.3
          0.116	       7.143432	            2.3
          0.117	       7.162677	            2.3
          0.118	       7.175378	            2.4
          0.119	       7.198129	            2.4
           0.12	       7.217918	            2.4
          0.121	       7.235919	            2.4
          0.122	       7.249534	            2.4
          0.123	       7.266744	            2.5
          0.124	       7.280851	            2.5
          0.125	       7.299455	            2.5
          0.126	       7.314168	            2.5
          0.127	        7.33477	            2.5
          0.128	       7.346927	            2.6
          0.129	       7.366361	            2.6
           0.13	       7.384865	            2.6
          0.131	       7.395875	            2.6
          0.132	       7.408798	            2.6
          0.133	        7.42938	            2.7
          0.134	       7.443438	            2.7
          0.135	       7.456899	            2.7
          0.136	       7.472601	            2.7
          0.137	       7.492989	            2.7
          0.138	       7.506939	            2.8
          0.139	       7.524763	            2.8
           0.14	       7.543667	            2.8
          0.141	       7.565294	            2.8
          0.142	       7.579104	            2.8
          0.143	       7.598286	            2.9
          0.144	       7.613646	            2.9
          0.145	       7.635214	            2.9
          0.146	       7.650773	            2.9
          0.147	       7.672296	            2.9
          0.148	       7.685379	              3
          0.149	       7.705922	              3
           0.15	       7.724814	              3
          0.151	       7.745928	              3
          0.152	       7.759924	              3
          0.153	       7.780464	            3.1
          0.154	       7.796848	            3.1
          0.155	       7.815587	            3.1
          0.156	       7.830736	            3.1
          0.157	        7.84889	            3.1
          0.158	         7.8621	            3.2
          0.159	       7.885098	            3.2
           0.16	       7.903193	            3.2
          0.161	       7.922993	            3.2
          0.162	       7.936622	            3.2
          0.163	       7.956446	            3.3
          0.164	       7.971118	            3.3
          0.165	       7.992827	            3.3
          0.166	        8.00712	            3.3
          0.167	       8.024545	            3.3
          0.168	       8.037581	            3.4
          0.169	       8.056546	            3.4
           0.17	       8.076311	            3.4
          0.171	       8.097019	            3.4
          0.172	       8.111362	            3.4
          0.173	       8.131513	            3.5
          0.174	       8.145709	            3.5
          0.175	       8.168771	            3.5
          0.176	        8.18278	            3.5
          0.177	        8.20361	            3.5
          0.178	       8.217526	            3.6
          0.179	       8.238862	            3.6
           0.18	       8.259167	            3.6
          0.181	       8.276913	            3.6
          0.182	       8.290819	            3.6
          0.183	       8.310208	            3.7
          0.184	       8.324438	            3.7
          0.185	       8.345409	            3.7
          0.186	       8.359793	            3.7
          0.187	       8.381731	            3.7
          0.188	       8.395757	            3.8
          0.189	       8.416805	            3.8
           0.19	       8.436814	            3.8
          0.191	       8.454021	            3.8
          0.192	       8.467112	            3.8
          0.193	        8.48861	            3.9
          0.194	       8.504833	            3.9
          0.195	       8.518887	            3.9
          0.196	       8.533151	            3.9
          0.197	       8.555131	            3.9
          0.198	       8.568863	              4
          0.199	       8.587307	              4
            0.2	       8.606377	              4
          0.201	       8.619278	              4
          0.202	         8.6328	              4
          0.203	       8.650761	            4.1
          0.204	       8.664893	            4.1
          0.205	       8.685593	            4.1
          0.206	       8.701586	            4.1
          0.207	       8.721297	            4.1
          0.208	       8.734336	            4.2
          0.209	       8.755875	            4.2
           0.21	       8.773332	            4.2
          0.211	       8.785335	            4.2
          0.212	       8.798705	            4.2
          0.213	       8.819149	            4.3
          0.214	       8.833932	            4.3
          0.215	       8.852791	            4.3
          0.216	       8.867563	            4.3
          0.217	       8.884423	            4.3
          0.218	       8.898386	            4.4
          0.219	       8.911405	            4.4
           0.22	       8.930625	            4.4
          0.221	       8.943573	            4.4
          0.222	       8.957313	            4.4
          0.223	       8.977345	            4.5
          0.224	       8.991284	            4.5
          0.225	       9.010936	            4.5
          0.226	       9.024865	            4.5
          0.227	        9.04609	            4.5
          0.228	       9.059871	            4.6
          0.229	       9.074049	            4.6
           0.23	       9.091105	            4.6
          0.231	       9.111794	            4.6
          0.232	       9.125646	            4.6
          0.233	       9.147318	            4.7
          0.234	       9.161985	            4.7
          0.235	       9.182399	            4.7
          0.236	       9.196677	            4.7
          0.237	       9.209254	            4.7
          0.238	       9.223181	            4.8
          0.239	       9.244017	            4.8
           0.24	       9.262311	            4.8
          0.241	       9.279689	            4.8
          0.242	       9.292687	            4.8
          0.243	       9.304434	            4.9
          0.244	       9.320217	            4.9
          0.245	       9.338772	            4.9
          0.246	       9.352298	            4.9
          0.247	       9.370607	            4.9
          0.248	        9.38439	              5
          0.249	       9.405949	              5
           0.25	       9.424255	              5
          0.251	       9.444081	              5
          0.252	       9.457532	              5
          0.253	       9.477969	            5.1
          0.254	       9.492801	            5.1
          0.255	       9.504955	            5.1
          0.256	       9.519522	            5.1
          0.257	       9.531635	            5.1
          0.258	       9.544262	            5.2
          0.259	       9.562634	            5.2
           0.26	       9.582157	            5.2
          0.261	       9.601324	            5.2
          0.262	       9.615135	            5.2
          0.263	       9.632399	            5.3
          0.264	       9.646267	            5.3
          0.265	       9.666292	            5.3
          0.266	       9.680249	            5.3
          0.267	       9.701037	            5.3
          0.268	       9.714306	            5.4
          0.269	       9.734956	            5.4
           0.27	       9.755973	            5.4
          0.271	       9.767582	            5.4
          0.272	       9.780347	            5.4
          0.273	       9.802532	            5.5
          0.274	       9.817106	            5.5
          0.275	       9.830869	            5.5
          0.276	       9.845171	            5.5
          0.277	       9.862943	            5.5
          0.278	       9.876854	            5.6
          0.279	       9.895365	            5.6
           0.28	       9.914698	            5.6
          0.281	       9.932184	            5.6
          0.282	       9.946217	            5.6
          0.283	       9.967884	            5.7
          0.284	       9.982688	            5.7
          0.285	       9.995842	            5.7
          0.286	       10.00938	            5.7
          0.287	        10.0214	            5.7
          0.288	       10.03446	            5.8
          0.289	        10.0523	            5.8
           0.29	       10.07108	            5.8
          0.291	       10.08973	            5.8
          0.292	       10.10257	            5.8
          0.293	       10.12343	            5.9
          0.294	       10.13756	            5.9
          0.295	       10.15687	            5.9
          0.296	       10.17041	            5.9
          0.297	       10.19113	            5.9
          0.298	       10.20514	              6
          0.299	        10.2238	              6
            0.3	        10.2388	              6
          0.301	        10.2608	              6
          0.302	       10.27446	              6
          0.303	        10.2932	            6.1
          0.304	       10.30785	            6.1
          0.305	       10.32967	            6.1
          0.306	        10.3437	            6.1
          0.307	       10.36434	            6.1
          0.308	       10.37816	            6.2
          0.309	       10.40183	            6.2
           0.31	       10.42017	            6.2
          0.311	       10.43934	            6.2
          0.312	       10.45298	            6.2
          0.313	       10.47178	            6.3
          0.314	       10.48607	            6.3
          0.315	       10.50602	            6.3
          0.316	       10.51988	            6.3
          0.317	       10.53713	            6.3
          0.318	       10.54968	            6.4
          0.319	       10.56342	            6.4
           0.32	       10.58412	            6.4
          0.321	       10.60419	            6.4
          0.322	       10.61807	            6.4
          0.323	       10.63851	            6.5
          0.324	         10.653	            6.5
          0.325	       10.67237	            6.5
          0.326	       10.68632	            6.5
          0.327	       10.70829	            6.5
          0.328	       10.72225	            6.6
          0.329	       10.74427	            6.6
           0.33	       10.76477	            6.6
          0.331	       10.78317	            6.6
          0.332	       10.79725	            6.6
          0.333	       10.81152	            6.7
          0.334	       10.82594	            6.7
          0.335	       10.84427	            6.7
          0.336	       10.85612	            6.7
          0.337	       10.87614	            6.7
          0.338	       10.89001	            6.8
          0.339	       10.91131	            6.8
           0.34	       10.93025	            6.8
          0.341	       10.95054	            6.8
          0.342	       10.96417	            6.8
          0.343	        10.9812	            6.9
          0.344	       10.99448	            6.9
          0.345	       11.01148	            6.9
          0.346	       11.02533	            6.9
          0.347	       11.04394	            6.9
          0.348	        11.0576	              7
