   Simtime [s] 	   Realtime [s]	 Percentage [%]
          0.001	      0.1169433	           0.02
          0.002	      0.1569044	           0.04
          0.003	       0.247222	           0.06
          0.004	      0.3344976	           0.08
          0.005	      0.4193632	            0.1
          0.006	      0.5016031	           0.12
          0.007	      0.5834028	           0.14
          0.008	      0.6373603	           0.16
          0.009	      0.6952483	           0.18
           0.01	       0.752501	            0.2
          0.011	       0.811562	           0.22
          0.012	      0.8680928	           0.24
          0.013	      0.9239143	           0.26
          0.014	      0.9743022	           0.28
          0.015	       1.024082	            0.3
          0.016	        1.08109	           0.32
          0.017	       1.129369	           0.34
          0.018	       1.185233	           0.36
          0.019	       1.233919	           0.38
           0.02	       1.282621	            0.4
          0.021	       1.340234	           0.42
          0.022	       1.398023	           0.44
          0.023	        1.44657	           0.46
          0.024	       1.503389	           0.48
          0.025	       1.561072	            0.5
          0.026	       1.619383	           0.52
          0.027	       1.675598	           0.54
          0.028	       1.732224	           0.56
          0.029	        1.78087	           0.58
           0.03	       1.830934	            0.6
          0.031	        1.88917	           0.62
          0.032	       1.937503	           0.64
          0.033	       1.996934	           0.66
          0.034	       2.054982	           0.68
          0.035	       2.103438	            0.7
          0.036	       2.161189	           0.72
          0.037	       2.219841	           0.74
          0.038	       2.277404	           0.76
          0.039	       2.335072	           0.78
           0.04	       2.392846	            0.8
          0.041	       2.451927	           0.82
          0.042	       2.510141	           0.84
          0.043	        2.55885	           0.86
          0.044	       2.616822	           0.88
          0.045	       2.676489	            0.9
          0.046	       2.725079	           0.92
          0.047	       2.782951	           0.94
          0.048	       2.840898	           0.96
          0.049	       2.889675	           0.98
           0.05	       2.947131	              1
          0.051	       3.005034	              1
          0.052	       3.063074	              1
          0.053	       3.121496	            1.1
          0.054	       3.179876	            1.1
          0.055	       3.236692	            1.1
          0.056	       3.284936	            1.1
          0.057	       3.343527	            1.1
          0.058	        3.39184	            1.2
          0.059	       3.440306	            1.2
           0.06	       3.498844	            1.2
          0.061	       3.558493	            1.2
          0.062	       3.607037	            1.2
          0.063	       3.655113	            1.3
          0.064	       3.712065	            1.3
          0.065	       3.768606	            1.3
          0.066	       3.825921	            1.3
          0.067	       3.882165	            1.3
          0.068	       3.945874	            1.4
          0.069	       3.995107	            1.4
           0.07	       4.050212	            1.4
          0.071	       4.104913	            1.4
          0.072	       4.163244	            1.4
          0.073	        4.21417	            1.5
          0.074	       4.271653	            1.5
          0.075	        4.32835	            1.5
          0.076	       4.385386	            1.5
          0.077	       4.434853	            1.5
          0.078	       4.485226	            1.6
          0.079	       4.543678	            1.6
           0.08	       4.600517	            1.6
          0.081	       4.658265	            1.6
          0.082	       4.714891	            1.6
          0.083	       4.773563	            1.7
          0.084	       4.831293	            1.7
          0.085	       4.884429	            1.7
          0.086	        4.89042	            1.7
          0.087	        4.89263	            1.7
          0.088	       4.894766	            1.8
          0.089	       4.906617	            1.8
           0.09	       4.945261	            1.8
          0.091	        4.95791	            1.8
          0.092	       4.970837	            1.8
          0.093	       4.982532	            1.9
          0.094	       4.995318	            1.9
          0.095	        5.00175	            1.9
          0.096	       5.015113	            1.9
          0.097	       5.027541	            1.9
          0.098	       5.039652	              2
          0.099	       5.052658	              2
            0.1	       5.081194	              2
          0.101	       5.092994	              2
          0.102	       5.104751	              2
          0.103	       5.125792	            2.1
          0.104	       5.138872	            2.1
          0.105	         5.1663	            2.1
          0.106	       5.179494	            2.1
          0.107	       5.196334	            2.1
          0.108	       5.207607	            2.2
          0.109	        5.22496	            2.2
           0.11	       5.244488	            2.2
          0.111	       5.260084	            2.2
          0.112	       5.272165	            2.2
          0.113	       5.279226	            2.3
          0.114	       5.282381	            2.3
          0.115	       5.301141	            2.3
          0.116	       5.315538	            2.3
          0.117	       5.333514	            2.3
          0.118	       5.345212	            2.4
          0.119	       5.363426	            2.4
           0.12	       5.379967	            2.4
          0.121	       5.396304	            2.4
          0.122	       5.408048	            2.4
          0.123	       5.423574	            2.5
          0.124	       5.428123	            2.5
          0.125	         5.4477	            2.5
          0.126	       5.460626	            2.5
          0.127	       5.476885	            2.5
          0.128	       5.488509	            2.6
          0.129	       5.505323	            2.6
           0.13	       5.522455	            2.6
          0.131	       5.540254	            2.6
          0.132	       5.552126	            2.6
          0.133	       5.564316	            2.7
          0.134	       5.577303	            2.7
          0.135	       5.594891	            2.7
          0.136	       5.607486	            2.7
          0.137	        5.62368	            2.7
          0.138	       5.626049	            2.8
          0.139	       5.643029	            2.8
           0.14	       5.661809	            2.8
          0.141	       5.679151	            2.8
          0.142	       5.691041	            2.8
          0.143	       5.707308	            2.9
          0.144	       5.720539	            2.9
          0.145	        5.72937	            2.9
          0.146	       5.742479	            2.9
          0.147	       5.758427	            2.9
          0.148	        5.77051	              3
          0.149	       5.789274	              3
