   Simtime [s] 	   Realtime [s]	 Percentage [%]
          0.001	      0.1059994	           0.02
          0.002	      0.1455888	           0.04
          0.003	      0.2342871	           0.06
          0.004	      0.3176856	           0.08
          0.005	      0.3917496	            0.1
          0.006	      0.4742546	           0.12
          0.007	      0.5535553	           0.14
          0.008	      0.6141713	           0.16
          0.009	      0.6627718	           0.18
           0.01	       0.710806	            0.2
          0.011	      0.7670612	           0.22
          0.012	      0.8150578	           0.24
          0.013	      0.8715647	           0.26
          0.014	      0.9195383	           0.28
          0.015	      0.9762695	            0.3
          0.016	       1.024093	           0.32
          0.017	       1.071707	           0.34
          0.018	       1.126979	           0.36
          0.019	       1.174665	           0.38
           0.02	       1.232537	            0.4
          0.021	        1.28052	           0.42
          0.022	       1.336619	           0.44
          0.023	       1.384493	           0.46
          0.024	       1.441814	           0.48
          0.025	       1.497305	            0.5
          0.026	       1.553271	           0.52
          0.027	       1.610349	           0.54
          0.028	       1.658764	           0.56
          0.029	       1.715039	           0.58
           0.03	       1.772576	            0.6
          0.031	       1.820924	           0.62
          0.032	       1.869063	           0.64
          0.033	        1.91743	           0.66
          0.034	        1.97337	           0.68
          0.035	       2.021562	            0.7
          0.036	       2.069692	           0.72
          0.037	       2.126672	           0.74
          0.038	       2.174564	           0.76
          0.039	       2.222682	           0.78
           0.04	       2.280046	            0.8
          0.041	       2.337457	           0.82
          0.042	       2.393672	           0.84
          0.043	       2.449556	           0.86
          0.044	       2.498011	           0.88
          0.045	       2.554475	            0.9
          0.046	       2.602885	           0.92
          0.047	       2.658454	           0.94
          0.048	       2.715507	           0.96
          0.049	       2.764046	           0.98
           0.05	       2.811844	              1
          0.051	       2.868574	              1
          0.052	       2.916724	              1
          0.053	        2.96521	            1.1
          0.054	       3.023198	            1.1
          0.055	       3.072927	            1.1
          0.056	        3.12088	            1.1
          0.057	       3.169223	            1.1
          0.058	       3.217179	            1.2
          0.059	        3.26513	            1.2
           0.06	       3.322695	            1.2
          0.061	       3.378751	            1.2
          0.062	       3.427413	            1.2
          0.063	       3.475261	            1.3
          0.064	       3.523645	            1.3
          0.065	       3.581053	            1.3
          0.066	       3.636736	            1.3
          0.067	       3.684563	            1.3
          0.068	       3.732689	            1.4
          0.069	       3.789886	            1.4
           0.07	       3.845606	            1.4
          0.071	       3.895554	            1.4
          0.072	       3.943499	            1.4
          0.073	       4.000375	            1.5
          0.074	       4.048386	            1.5
          0.075	       4.106265	            1.5
          0.076	       4.154064	            1.5
          0.077	       4.202253	            1.5
          0.078	       4.259712	            1.6
          0.079	       4.308114	            1.6
           0.08	        4.35661	            1.6
          0.081	       4.404728	            1.6
          0.082	       4.453209	            1.6
          0.083	       4.501515	            1.7
          0.084	       4.550198	            1.7
          0.085	       4.593006	            1.7
          0.086	       4.598779	            1.7
          0.087	       4.602053	            1.7
          0.088	       4.603703	            1.8
          0.089	       4.605175	            1.8
           0.09	       4.633188	            1.8
          0.091	       4.645663	            1.8
          0.092	       4.648249	            1.8
          0.093	       4.649775	            1.9
          0.094	        4.66184	            1.9
          0.095	       4.675187	            1.9
          0.096	       4.680097	            1.9
          0.097	       4.683743	            1.9
          0.098	       4.686412	              2
          0.099	       4.698709	              2
            0.1	       4.726219	              2
          0.101	       4.737905	              2
          0.102	       4.749487	              2
          0.103	       4.761421	            2.1
          0.104	       4.774062	            2.1
          0.105	       4.798935	            2.1
          0.106	       4.803112	            2.1
          0.107	       4.819301	            2.1
          0.108	        4.83073	            2.2
          0.109	       4.839053	            2.2
           0.11	       4.847777	            2.2
          0.111	       4.864426	            2.2
          0.112	       4.865922	            2.2
          0.113	       4.881272	            2.3
          0.114	       4.883753	            2.3
          0.115	       4.900898	            2.3
          0.116	       4.903418	            2.3
          0.117	       4.919119	            2.3
          0.118	       4.920731	            2.4
          0.119	       4.937405	            2.4
           0.12	       4.945669	            2.4
          0.121	       4.961759	            2.4
          0.122	       4.972931	            2.4
          0.123	       4.988227	            2.5
          0.124	       5.000695	            2.5
          0.125	       5.018589	            2.5
          0.126	       5.030452	            2.5
          0.127	       5.037797	            2.5
          0.128	       5.039354	            2.6
          0.129	       5.057068	            2.6
           0.13	       5.073915	            2.6
          0.131	       5.089803	            2.6
          0.132	       5.101098	            2.6
          0.133	       5.116773	            2.7
          0.134	       5.120386	            2.7
          0.135	       5.128245	            2.7
          0.136	       5.131872	            2.7
          0.137	       5.138732	            2.7
          0.138	       5.140127	            2.8
          0.139	       5.156917	            2.8
           0.14	        5.16548	            2.8
          0.141	       5.172374	            2.8
          0.142	       5.173761	            2.8
          0.143	       5.180509	            2.9
          0.144	       5.183937	            2.9
          0.145	       5.192503	            2.9
          0.146	        5.19553	            2.9
          0.147	       5.202577	            2.9
          0.148	       5.203944	              3
          0.149	       5.211616	              3
           0.15	       5.218988	              3
          0.151	       5.234945	              3
          0.152	       5.236427	              3
          0.153	       5.251949	            3.1
          0.154	       5.255241	            3.1
          0.155	       5.263448	            3.1
          0.156	       5.267135	            3.1
          0.157	       5.272968	            3.1
          0.158	       5.284255	            3.2
          0.159	       5.300371	            3.2
           0.16	       5.317881	            3.2
          0.161	       5.324309	            3.2
          0.162	       5.335655	            3.2
          0.163	       5.344011	            3.3
          0.164	       5.347642	            3.3
          0.165	       5.364743	            3.3
          0.166	       5.368093	            3.3
          0.167	       5.374993	            3.3
          0.168	       5.376518	            3.4
          0.169	       5.384485	            3.4
           0.17	       5.393986	            3.4
          0.171	       5.409452	            3.4
          0.172	       5.420943	            3.4
          0.173	       5.436351	            3.5
          0.174	       5.448305	            3.5
          0.175	       5.465011	            3.5
          0.176	       5.468175	            3.5
          0.177	       5.476429	            3.5
          0.178	       5.478014	            3.6
          0.179	       5.488542	            3.6
           0.18	       5.496443	            3.6
          0.181	       5.503208	            3.6
          0.182	       5.504523	            3.6
          0.183	       5.520299	            3.7
          0.184	       5.532093	            3.7
          0.185	       5.548352	            3.7
          0.186	       5.551438	            3.7
          0.187	       5.567182	            3.7
          0.188	       5.568525	            3.8
          0.189	       5.585154	            3.8
           0.19	       5.593317	            3.8
